task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-19,completed,11,14.33,1592.43,2844.00,11707.00,903.62,8863.00,10114.57,1251.57,"rack-3-0,rack-3-1,rack-3-2,rack-3-6,rack-5-0,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-7-7"
task-92,completed,9,4.22,622.24,623.00,11941.00,1077.86,11318.00,11318.76,0.76,"rack-0-7,rack-1-0,rack-1-1,rack-1-4,rack-1-5,rack-1-6,rack-2-0,rack-2-1,rack-2-2"
task-30,completed,4,52.49,1150.11,10874.00,12345.00,544.22,1471.00,11194.89,9723.89,"rack-0-7,rack-1-4,rack-1-5,rack-3-3"
task-50,completed,3,27.70,990.59,2593.00,12439.00,1551.81,9846.00,11448.41,1602.41,"rack-3-2,rack-5-1,rack-7-6"
task-72,completed,7,43.62,1141.63,11331.00,12541.00,374.44,1210.00,11399.37,10189.37,"rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-5-4,rack-5-5,rack-7-0"
task-49,completed,14,12.64,1574.07,5100.00,12921.00,838.10,7821.00,11346.93,3525.93,"rack-1-2,rack-1-3,rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-3-0,rack-3-1,rack-3-2,rack-5-1,rack-6-5,rack-6-6,rack-6-7"
task-97,completed,10,31.41,587.13,7753.00,13049.00,1203.74,5296.00,12461.87,7165.87,"rack-4-7,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4"
task-4,completed,14,14.79,1456.97,5307.00,13452.00,1064.79,8145.00,11995.03,3850.03,"rack-1-7,rack-3-0,rack-3-1,rack-3-2,rack-6-6,rack-6-7,rack-7-0,rack-7-1,rack-7-2,rack-7-3,rack-7-4,rack-7-5,rack-7-6,rack-7-7"
task-44,completed,16,16.09,732.71,6876.00,13528.00,856.62,6652.00,12795.29,6143.29,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-5,rack-2-6,rack-2-7,rack-5-0,rack-5-2,rack-5-3,rack-5-7,rack-6-6,rack-6-7,rack-7-0,rack-7-2"
task-16,completed,8,41.71,1396.80,8382.00,13593.00,1518.70,5211.00,12196.20,6985.20,"rack-1-6,rack-2-6,rack-2-7,rack-3-6,rack-3-7,rack-4-3,rack-4-4,rack-4-5"
task-82,completed,5,55.69,292.50,12541.00,13613.00,433.76,1072.00,13320.50,12248.50,"rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-7-7"
task-83,completed,6,53.12,1325.82,13613.00,13748.00,54.37,135.00,12422.18,12287.18,"rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-7-6,rack-7-7"
